index	speaker	sentiment	movingave(bin 20)	text	movingave
1181		Positive	0.04878	"A fragile, unearthly prettiness has come out in LAURA: she is like a piece of translucent glass touched by light, given a momentary radiance, not actual, not lasting.]"	0.126296348
1182	Amanda	Neutral	0.073171	AMANDA [impatiently]: Why are you trembling?	0.150687348
1183	Laura	Negative	0.05	"LAURA: Mother, you've made me so nervous !"	0.127516348
1184	Amanda	Neutral	0.025641	A M A N D A: How have I made you nervous ?	0.103157348
1185	Laura	Neutral	0.025641	LAURA: By all this fuss !	0.103157348
1186	Laura	Positive	0.076923	You make it seem so important !	0.154439348
1187	Amanda	Negative	0.076923	"AMANDA: I don't understand you, Laura."	0.154439348
1188	Amanda	Negative	0.10256	"You couldn't be satisfied with just sitting home, and yet whenever I try to arrange something for you, you seem to resist it."	0.180076348
1189	Amanda	Neutral	0.10256	[She gets up.]	0.180076348
1190	Amanda	Neutral	0.10256	Now take a look at yourself.	0.180076348
1191	Amanda	Negative	0.10256	"No, wait !"	0.180076348
1192	Amanda	Neutral	0.076923	Wait just a moment - I have an idea !	0.154439348
1193	Laura	Neutral	0.051282	LAURA: What is it now?	0.128798348
1194		Neutral	0.025641	[AMANDA produces two powder puffs which she wraps in handkerchiefs and stuffs in LAURA's bosom.]	0.103157348
1195	Laura	Neutral	0.051282	"LAURA: Mother, what are you doing?"	0.128798348
1196	Amanda	Neutral	0.025641	AMANDA: They call them 'Gay Deceivers'!	0.103157348
1197	Laura	Negative	-0.051282	LAURA: I won't wear them !	0.026234348
1198	Amanda	Neutral	0	AMANDA: YOU Will !	0.077516348
1199	Laura	Negative	0	LAURA: Why should I?	0.077516348
1200	Amanda	Negative	-0.051282	"AMANDA: Because, to be painfully honest, your chest is flat."	0.026234348
1201	Laura	Neutral	-0.051282	LAURA: You make it seem like we were setting a trap.	0.026234348
1202	Amanda	Positive	-0.051282	"AMANDA: All pretty girls are a trap, a pretty trap, and men expect them to be !"	0.026234348
1203		None	-0.051282	[LEGEND: ' A PRETTY TRAP']	0.026234348
1204		None	-0.025641	 	0.051875348
1205	Amanda	Positive	-0.025641	"Now look at yourself, young lady."	0.051875348
1206	Amanda	Positive	-0.025641	This is the prettiest you will ever be !	0.051875348
1207	Amanda	Neutral	-0.051282	I've got.	0.026234348
1208	Amanda	Neutral	0.025641	to fix myself now !	0.103157348
1209	Amanda	Positive	0.025641	You're going to be surprised by your mother's appearance !	0.103157348
1210		Neutral	0.025641	"[She crosses through portieres, humming gaily.]"	0.103157348
1211		Neutral	0.051282	[LAURA moves slowly to the long mirror and stares solemnly at herself.	0.128798348
1212		Negative	0.051282	"A wind blows the white curtains inward in a slow, graceful motion and with a faint, sorrowful sighing.]"	0.128798348
1213	Amanda	Negative	0.025641	AMANDA [off stage]: It isn't dark enough yet.	0.103157348
1214		Neutral	0	[LAURA turns slowly before the mirror with a troubled look.]	0.077516348
1215		Positive	-0.025641	LEGEND ON SCREEN: ' THIS IS MY SISTER: CELEBRATE HER WITH STRINGS!'	0.051875348
1216		Neutral	-0.025641	MUSIC.]	0.051875348
1217	Amanda	Negative	0	"AMANDA [laughing, off]: I'm going to show you something."	0.077516348
1218	Amanda	Positive	0.025641	I'm going to make a spectacular appearance !	0.103157348
1219	Laura	Neutral	0.025641	"LAURA: What is it, Mother?"	0.103157348
1220	Amanda	Negative	0.076923	AMANDA: Possess your soul in patience ?	0.154439348
1221	Amanda	Positive	0.10256	you will see !	0.180076348
1222	Amanda	Positive	0.12821	Something I've resurrected from that old trunk!	0.205726348
1223	Amanda	Neutral	0.10256	Styles haven't changed so terribly much after all.	0.180076348
1224		Neutral	0.1	[She parts the portieres.]	0.177516348
1225	Amanda	Neutral	0.097561	Now just look at your mother !	0.175077348
1226		Neutral	0.097561	[She wears a girlish frock of yellowed voile with a blue silk sash.	0.175077348
1227		Neutral	0.04878	She carries a bunch of jonquils - the legend of her youth is nearly revived.]	0.126296348
1228	Amanda	Very Positive	0.04878	"[Feverishly]: This is the dress in which I led the cotillion, won the cakewalk twice at Sunset Hill, wore one spring to the Governor's ball in Jackson !"	0.126296348
1229	Amanda	Negative	0.04878	"See how I sashayed around the ballroom, Laura?"	0.126296348
1230		Neutral	0.04878	[She raises her skirt and does a mincing step around the room.]	0.126296348
1231	Amanda	Positive	0.04878	I wore it on Sundays for my gentlemen callers !	0.126296348
1232	Amanda	Negative	0.02439	I had it on the day I met your father I had malaria fever all that spring.	0.101906348
1233	Amanda	Negative	0.04878	The change of climate from East Tennessee to the Delta - weakened resistance I had a little temperature all the time - not enough to be serious - just enough to make me restless and giddy I Invitations poured in - parties all over the Delta!	0.126296348
1234	Amanda	Negative	0.04878	"- 'Stay in bed,' said mother, 'you have fever!'"	0.126296348
1235	Amanda	Negative	0.073171	- but I just wouldn't.	0.150687348
1236	Amanda	Neutral	0.05	"- I took quinine but kept on going, going !"	0.127516348
1237	Amanda	Positive	0.051282	"Evenings, dances !"	0.128798348
1238	Amanda	Neutral	0.076923	"- Afternoons, long, long rides!"	0.154439348
1239	Amanda	Neutral	0.051282	Picnics.	0.128798348
1240	Amanda	Positive	0.051282	- lovely!	0.128798348
1241	Amanda	Neutral	0.051282		0.128798348
1242	Amanda	Positive	0.025641	"- All lacy with dogwood, literally flooded with jonquils!"	0.103157348
1243	Amanda	Neutral	0		0.077516348
1244	Amanda	Neutral	0	Jonquils became an absolute obsession.	0.077516348
1245	Amanda	Neutral	0	"Mother said, 'Honey, there's no more room for jonquils.'"	0.077516348
1246	Amanda	Positive	0.025641	And still I kept on bringing in more jonquils.	0.103157348
1247	Amanda	Negative	0.025641	"Whenever, wherever I saw them, I'd say, ""Stop !"	0.103157348
1248	Amanda	Neutral	0.051282	Stop!	0.128798348
1249	Amanda	Neutral	-0.025641	I see jonquils !	0.051875348
1250	Amanda	Positive	0	I made the young men help me gather the jonquils !	0.077516348
1251	Amanda	Neutral	0.025641	"It was a joke, Amanda and her jonquils !"	0.103157348
1252	Amanda	Negative	0	"Finally there were no more vases to hold them, every available space was filled with jonquils."	0.077516348
1253	Amanda	Neutral	0.025641	No vases to hold them?	0.103157348
1254	Amanda	Negative	0.051282	"All right, I'll hold them myself - And then I - [She stops in front of the picture."	0.128798348
1255	Amanda	Positive	0.076923	M U S I C.] met your father !	0.154439348
1256	Amanda	None	0.076923	Malaria fever and jonquils and then - this - boy....	0.154439348
1257		None	0.076923	 	0.154439348
1258		Neutral	0.025641	[She switches on the rose-coloured lamp.]	0.103157348
1259	Amanda	Neutral	0.025641	I hope they get here before it starts to rain.	0.103157348
1260		Neutral	0.025641	[She crosses upstage and places the jonquils in bowl on table.]	0.103157348
1261	Amanda	Negative	-0.025641	I gave your brother a little extra change so he and Mr O'Connor could take the service car home.	0.051875348
1262	Laura	Neutral	-0.025641	LAURA [with altered look]: What did you say his name was?	0.051875348
1263	Amanda	Neutral	-0.076923	AMANDA: O'Connor.	0.000593348
1264	Laura	Neutral	-0.10256	LAURA: What is his first name?	-0.025043652
1265	Amanda	Neutral	-0.10256	AMANDA: I don't remember.	-0.025043652
1266	Amanda	Positive	-0.10256	"Oh, yes, I do."	-0.025043652
1267	Amanda	Neutral	-0.12821	It was - Jim !	-0.050693652
1268		Positive	-0.12821	[LAURA sways slightly and catches hold of a chair.	-0.050693652
1269		Negative	-0.15385	LEGEND ONSCREEN: ' NOT JIM !']	-0.076333652
1270	Laura	Neutral	-0.15385	LAURA [faintly]: Not - Jim!	-0.076333652
1271	Amanda	Positive	-0.17949	"AMANDA: Yes, that was it, it was Jim !"	-0.101973652
1272	Amanda	Neutral	-0.20513	"I've never known a Jim, that wasn't nice !"	-0.127613652
1273		Neutral	-0.17949	[MUSIC OMINOUS.]	-0.101973652
1274	Laura	Neutral	-0.15385	LAURA: Are you sure his name is Jim O'Connor?	-0.076333652
1275	Amanda	Neutral	-0.15385	AMANDA: Yes.	-0.076333652
1276	Amanda	Negative	-0.20513	Why?	-0.127613652
1277	Laura	Neutral	-0.225	LAURA: Is he the one that Tom used to know in high school?	-0.147483652
1278	Amanda	Negative	-0.2439	AMANDA: He didn't say so.	-0.166383652
1279	Amanda	Neutral	-0.2439	I think he just got to know him at the warehouse.	-0.166383652
1280	Laura	Neutral	-0.2439	"LAURA: There was a Jim O'Connor we both knew in high school - [Then, with effort.]"	-0.166383652
1281	Laura	Negative	-0.26829	"If that is the one that Tom is bringing to dinner - you'll have to excuse me, I won't come to the table."	-0.190773652
1282	Amanda	Neutral	-0.26829	AMANDA: What sort of nonsense is this?	-0.190773652
1283	Laura	Negative	-0.26829	LAURA: You asked me once if I'd ever liked a boy.	-0.190773652
1284	Laura	Negative	-0.26829	Don't you remember I showed you this boy's picture?	-0.190773652
1285	Amanda	Neutral	-0.26829	AMANDA: You mean the boy you showed me in the year book?	-0.190773652
1286	Laura	Neutral	-0.275	"LAURA: Yes, that boy."	-0.197483652
1287	Amanda	Neutral	-0.30769	"AMANDA: Laura, Laura, were you in love with that boy?"	-0.230173652
1288	Laura	Negative	-0.30769	"LAURA: I don't know, Mother."	-0.230173652
1289	Laura	Negative	-0.38462	All I know is I couldn't sit at the table if it was him!	-0.307103652
1290	Amanda	Neutral	-0.35897	AMANDA: It won't be him!	-0.281453652
1291	Amanda	Neutral	-0.35897	It isn't the least bit likely.	-0.281453652
1292	Amanda	Negative	-0.41026	"But whether it is or not, you will come to the table."	-0.332743652
1293	Amanda	Neutral	-0.38462	You will not be excused.	-0.307103652
1294	Laura	Positive	-0.35897	"LAURA: I'll have to be, Mother."	-0.281453652
1295	Amanda	Negative	-0.35897	"AMANDA: I don't intend to humour your silliness, Laura."	-0.281453652
1296	Amanda	Negative	-0.33333	"I've had too much from you and your brother, both !"	-0.255813652
1297	Amanda	Negative	-0.30769	So just sit down and compose yourself till they come.	-0.230173652
1298	Amanda	Negative	-0.30769	"Tom has forgotten his key so you'll have to let them in, when they arrive."	-0.230173652
1299	Laura	Neutral	-0.28205	"LAURA [panicky]: Oh, Mother - you answer the door !"	-0.204533652
1300	Amanda	Neutral	-0.28205	AMANDA [lightly]: Ill be in the kitchen - busy !	-0.204533652
1301	Laura	Negative	-0.28205	"LAURA: Oh, Mother, please answer the door, don't make me do it !"	-0.204533652
1302	Amanda	Negative	-0.25641	AMANDA [crossing into kitchenette]: I've got to fix the dressing for the salmon.	-0.178893652
1303	Amanda	Neutral	-0.23077	"Fuss, fuss - silliness !"	-0.153253652
1304	Amanda	Neutral	-0.17949	over a gentleman caller !	-0.101973652
1305		Neutral	-0.15385	[Door swings Shut.	-0.076333652
1306		None	-0.15385	LAURA is left alone	-0.076333652
1307		None	-0.17949	 	-0.101973652
1308		Neutral	-0.17949	LEGEND: ' TERROR!'	-0.101973652
1309		Very Negative	-0.15385	"She utters a low moan and turns off the lamp - sits stiffly on the edge of the sofa, knotting her fingers together."	-0.076333652
1310		Neutral	-0.12821	LEGEND ON SCREEN: ' THE OPENING OF A DOOR !'	-0.050693652
1311		Neutral	-0.12821	T0M and JIM appear on the fire-escape steps and climb to landing.	-0.050693652
1312		Negative	-0.15385	"Hearing their approach, LAURA rises with a panicky gesture."	-0.076333652
1313		Positive	-0.15385	She retreats to the portieres.	-0.076333652
1314		Positive	-0.12821	"The doorbell, LAURA catches her breath and touches her throat."	-0.050693652
1315		Neutral	-0.15385	Low drums.]	-0.076333652
1316	Amanda	Positive	-0.12821	"AMANDA [calling]: Laura, sweetheart !"	-0.050693652
1317	Amanda	Neutral	-0.12821	The door !	-0.050693652
1318		Neutral	-0.12821	[LAURA stares at it without moving.]	-0.050693652
1319	Jim	Neutral	-0.12821	JIM: I think we just beat the rain.	-0.050693652
1320	Tom	Neutral	-0.15385	TOM: Uh - huh.	-0.076333652
1321		Neutral	-0.12821	"[He rings again, nervously."	-0.050693652
1322		Neutral	-0.10256	JIM whistles and fishes for a cigarette.]	-0.025043652
1323	Amanda	Positive	-0.076923	"AMANDA [very gaily]: Laura, that is your brother and Mr O'Connor !"	0.000593348
1324	Amanda	Positive	-0.10256	"Will you let them in, darling?"	-0.025043652
1325		Neutral	-0.10256	[LAURA Crosses toward kitchenette door.]	-0.025043652
1326	Laura	Neutral	-0.10256	LAURA [breathlessly]: Mother - you go to the door !	-0.025043652
1327		Negative	-0.1	[AMANDA steps out of kitchenette and stares furiously at LAU R A.	-0.022483652
1328		Neutral	-0.12195	She points imperiously at the door.]	-0.044433652
1329	Laura	Neutral	-0.12195	"LAURA: Please, please!"	-0.044433652
1330	Amanda	Neutral	-0.04878	"AMANDA [in a fierce whisper]: What is the matter with you, you silly thing?"	0.028736348
1331	Laura	Neutral	-0.04878	"LAURA [desperately]: Please, you answer it, please !"	0.028736348
1332	Amanda	Negative	-0.02439	"AMANDA: I told you I wasn't going to humour you, Laura."	0.053126348
1333	Amanda	Negative	-0.02439	Why have you chosen this moment to lose your mind?	0.053126348
1334	Laura	Positive	-0.04878	"LAURA: Please, please, please, you go !"	0.028736348
1335	Amanda	Neutral	-0.073171	A M A N D A: You'll have to go to the door because I can't !	0.004345348
1336	Laura	Neutral	-0.073171	LAURA [despairingly] : I can't either !	0.004345348
1337	Amanda	Negative	-0.12195	AMANDA: Why?	-0.044433652
1338	Laura	Negative	-0.12195	LAURA: I'm sick!	-0.044433652
1339	Amanda	Negative	-0.12195	"AMANDA: I'm sick, too - of your nonsense !"	-0.044433652
1340	Amanda	Negative	-0.14634	Why can't you and your brother be normal people?	-0.068823652
1341	Amanda	Positive	-0.17073	Fantastic whims and behaviour !	-0.093213652
1342		Neutral	-0.175	[Tom gives a long ring.]	-0.097483652
1343	Amanda	Neutral	-0.17949	Preposterous goings on !	-0.101973652
1344	Amanda	Negative	-0.17949	Can you give me one reason - [Calls out lyrically] COMING!	-0.101973652
1345	Amanda	Neutral	-0.20513	JUST ONE SECOND!	-0.127613652
1346	Amanda	Neutral	-0.23077		-0.153253652
1347	Amanda	Neutral	-0.25641	"Now you answer it, Laura !"	-0.178893652
1348	Laura	Negative	-0.20513	"LAURA: Oh, oh, oh ... [She returns through the portieres."	-0.127613652
1349	Laura	Neutral	-0.20513	Darts to the victrola and winds it franticallly and turns it on.]	-0.127613652
1350	Amanda	Positive	-0.20513	"AMANDA: Laura Wingfield, you march right to that door !"	-0.127613652
1351	Laura	Neutral	-0.20513	"LAURA: Yes - yes, Mother !"	-0.127613652
1352		Positive	-0.23077	"[A faraway, scratchy rendition of 'Dardanella' softens the air and gives her strength to move through it."	-0.153253652
1353		Negative	-0.20513	She slips to the door and draws it cautiously open.	-0.127613652
1354		Neutral	-0.15385	"TOM enters With the caller, JIM O'CONNOR.]"	-0.076333652
1355	Tom	Neutral	-0.20513	"TOM: Laura, this is Jim."	-0.127613652
1356	Tom	Neutral	-0.20513	"Jim, this is my sister, Laura."	-0.127613652
1357	Jim	Negative	-0.20513	JIM [stepping inside]: I didn't know that Shakespeare had a sister!	-0.127613652
1358	Laura	Neutral	-0.17949	LAURA [retreating stiff and trembling from the door]: How - how do you do?	-0.101973652
1359	Jim	Neutral	-0.15385	JIM [heartily extending his hand]: - Okay !	-0.076333652
1360		Negative	-0.12821	[LAURA touches it hesitantly with hers.]	-0.050693652
1361	Jim	Negative	-0.10256	"JIM: Your hand's cold, Laura !"	-0.025043652
1362	Laura	None	-0.12821	"LAURA: Yes, well- I've been playing the victrola...."	-0.050693652
1363		None	-0.12821	 	-0.050693652
1364	Jim	Positive	-0.12821	JIM: Must have been playing classical music on it!	-0.050693652
1365	Jim	Neutral	-0.12821	You ought to play a little hot swing music to warm you up !	-0.050693652
1366	Laura	Negative	-0.12821	LAURA: Excuse me - I haven't finished playing the victrola.	-0.050693652
1367		Negative	-0.12821	... [She turns awkwardly and hurries into the front room.	-0.050693652
1368	Laura	Positive	-0.12821	She pauses a second by the victrola.	-0.050693652
1369	Laura	Neutral	-0.10256	Then catches her breath and darts through the portieres like a frightened deer.]	-0.025043652
1370	Jim	Neutral	-0.076923	JIM: [grinning]: What was the matter?	0.000593348
1371	Tom	Neutral	-0.10256	TOM: Oh - with Laura?	-0.025043652
1372	Tom	Negative	-0.076923	Laura is - terribly shy.	0.000593348
1373	Jim	Neutral	-0.10256	"JIM: Shy, huh?"	-0.025043652
1374	Jim	Positive	-0.076923	It's unusual to meet a shy girl nowadays.	0.000593348
1375	Jim	Negative	-0.10256	I don't believe you ever mentioned you had a sister.	-0.025043652
1376	Tom	Neutral	-0.076923	"TOM: Well, now you know."	0.000593348
1377	Tom	Neutral	-0.051282	I have one.	0.026234348
1378	Tom	Neutral	0.025641	Here is the Post Dispatch.	0.103157348
1379	Tom	Neutral	0.025641	You want a piece of it?	0.103157348
1380	Jim	Neutral	0.051282	JIM: Uh-huh.	0.128798348
1381	Tom	Neutral	0.076923	TOM: What piece?	0.154439348
1382	Tom	Neutral	0.12821	The comics?	0.205726348
1383	Jim	Neutral	0.125	JIM: Sports !	0.202516348
1384		Neutral	0.12195	[Glances at it.]	0.199466348
1385	Jim	Negative	0.097561	Ole Dizzy Dean is on his bad behaviour.	0.175077348
1386	Tom	Neutral	0.097561	TOM [disinterested] : Yeah ?	0.175077348
1387		Neutral	0.12195	[Lights cigarette and crosses back to fire-escape door.]	0.199466348
1388	Jim	Neutral	0.14634	JIM: Where are you going?	0.223856348
1389	Tom	Neutral	0.12195	TOM: I'm going out on the terrace.	0.199466348
1390	Jim	Positive	0.12195	"JIM [goes after him]: You know, Shakespeare - I'm going to sell you a bill of goods !"	0.199466348
1391	Tom	Neutral	0.12195	TOM: What goods?	0.199466348
1392	Jim	Positive	0.12195	JIM: A course I'm taking.	0.199466348
1393	Tom	Neutral	0.17073	TOM: Huh?	0.248246348
1394	Jim	Neutral	0.17073	JIM: In public speaking!	0.248246348
1395	Jim	Negative	0.14634	"You and me, we're not the warehouse type."	0.223856348
1396	Tom	Positive	0.17073	TOM: Thanks - that's good news.	0.248246348
1397	Tom	Positive	0.19512	But what has public speaking got to do with it?	0.272636348
1398	Jim	Very Positive	0.19512	JIM: It fits you for - executive positions !	0.272636348
1399	Tom	Neutral	0.19512	TOM: Awww.	0.272636348
1400	Jim	Positive	0.21951	JIM: I tell you it's done a helluva lot for me.	0.297026348
1401	Jim	Neutral	0.21951	[IMAGE: EXECUTIVE AT DESK.]	0.297026348
1402	Tom	Positive	0.21951	TOM: In what respect?	0.297026348
1403	Jim	Neutral	0.21951	JIM: In every !	0.297026348
1404	Jim	Neutral	0.21951	Ask yourself what is the difference between you an' me and men in the office down front?	0.297026348
1405	Jim	Neutral	0.21951	Brains?	0.297026348
1406	Jim	Neutral	0.2439	No!	0.321416348
1407	Jim	Neutral	0.21951		0.297026348
1408	Jim	Neutral	0.19512	- No !	0.272636348
1409	Jim	Neutral	0.17073	Then what?	0.248246348
1410	Jim	Neutral	0.17073	Just one little thing.	0.248246348
1411	Tom	Neutral	0.14634	TOM: What is that one little thing?	0.223856348
1412	Jim	Neutral	0.14634	JIM Primarily it amounts to - social poise!	0.223856348
1413	Jim	Positive	0.12195	Being able to square up to people and hold your own on any social level!	0.199466348
1414	Amanda	Neutral	0.14634	AMANDA [off stage]: Tom?	0.223856348
1415	Tom	Neutral	0.17073	"TOM: Yes, Mother?"	0.248246348
1416	Amanda	Neutral	0.19512	AMANDA: Is that you and Mr O'Connor?	0.272636348
1417	Amanda	Positive	0.17073	"AMANDA: Well, you just make yourselves comfortable in there."	0.248246348
1418	Tom	Neutral	0.12195	"TOM: Yes, Mother."	0.199466348
1419	Amanda	Neutral	0.073171	AMANDA: Ask Mr O'Connor if he would like to wash his hands.	0.150687348
1420	Jim	Positive	0.097561	"JIM Aw, no - no - thank you - I took care of that at the warehouse."	0.175077348
1421	Jim	Neutral	0.073171	Tom-.	0.150687348
1422	Tom	Neutral	0.073171	TOM: Yes?	0.150687348
1423	Jim	Neutral	0.073171	JI M: Mr Mendoza was speaking to me about you.	0.150687348
1424	Tom	Neutral	0.073171	TOM: Favourably?	0.150687348
1425	Jim	Neutral	0.073171	JIM: What do you think?	0.150687348
1426	Tom	Neutral	0.073171	TOM: Well.	0.150687348
1427	Jim	Negative	0.073171	JIM: You're going to be out of a job if you don't wake up.	0.150687348
1428	Tom	Negative	0.097561	TOM: I am waking up.	0.175077348
1429	Jim	Negative	0.073171	JIM: You show no signs.	0.150687348
1430	Tom	Neutral	0.073171	TOM: The signs are interior.	0.150687348
1431		Neutral	0.097561	[IMAGE ON SCREEN: THE SAILING VESSEL WITH JOLLY ROGER AGAIN.]	0.175077348
1432	Tom	Neutral	0.073171	TOM: I' m planning to change.	0.150687348
1433		Neutral	0.04878	[He loans over the rail speaking with quiet exhilaration.	0.126296348
1434	Tom	Positive	0	The incandescent marquees and signs of the first-run movie houses light his face from across the alley.	0.077516348
1435	Tom	Positive	0	He looks like a voyager.]	0.077516348
1436	Tom	Neutral	0	I'm right at the point of committing myself to a future that doesn't include the warehouse and Mr Mendoza or even a night-school course in public speaking.	0.077516348
1437	Jim	Neutral	0	JIM: What are you gassing about?	0.077516348
1438	Tom	Negative	-0.02439	TOM: I'm tired of the movies.	0.053126348
1439	Jim	Neutral	-0.02439	J IM: Movies!	0.053126348
1440	Tom	Positive	-0.02439	"TOM: Yes, movies !"	0.053126348
1441	Tom	Neutral	-0.04878	Look at them ?	0.028736348
1442		Neutral	-0.04878	[A wave toward the marvels of Grand Avenue.]	0.028736348
1443	Tom	Positive	-0.04878	"All of those glamorous people - having ,adventures - hogging it all, gobbling the whole thing up !"	0.028736348
1444	Tom	Neutral	-0.073171	You know what happens?	0.004345348
1445	Tom	Neutral	-0.097561	People go to the movies instead of moving!	-0.020044652
1446	Tom	Neutral	-0.12195	"Hollywood characters are supposed to have all the adventures for everybody in America, while everybody in America sits in a dark room and watches them have them !"	-0.044433652
1447	Tom	Neutral	-0.12195	"Yes, until there's a war."	-0.044433652
1448	Tom	Positive	-0.097561	That's when adventure becomes available to the masses !	-0.020044652
1449	Tom	Negative	-0.073171	"Everyone's dish, not only Gable's !"	0.004345348
1450	Tom	Neutral	-0.04878	"Then the people in the dark room come out of the dark room to have some adventure themselves Goody, goody!"	0.028736348
1451	Tom	Positive	-0.04878	"- It's our turn now, to go to the South Sea Islands - to make a safari - to be exotic, far-off !"	0.028736348
1452	Tom	Negative	-0.073171	- But I'm not patient.	0.004345348
1453	Tom	Negative	-0.097561	I don't want to wait till then.	-0.020044652
1454	Tom	Negative	-0.12195	I'm tired of the movies and I am about to move !	-0.044433652
1455	Jim	Neutral	-0.14634	JIM [incredulously]: Move?	-0.068823652
1456	Tom	Neutral	-0.19512	TOM: Yes.	-0.117603652
1457	Jim	Neutral	-0.21951	JIM: When?	-0.141993652
1458	Tom	Neutral	-0.19512	TOM: Soon !	-0.117603652
1459	Jim	Neutral	-0.19512	JIM: Where?	-0.117603652
1460	Jim	Neutral	-0.19512	Where?	-0.117603652
1461		Neutral	-0.21951	"[THEME THREE MUSIC SEEMS TO ANSWER THE QUESTION, WHILE TOM THINKS IT OVER."	-0.141993652
1462		Neutral	-0.21951	HE SEARCHES AMONG HIS POCKETS.]	-0.141993652
1463	Tom	Neutral	-0.21951	TOM: I'm starting to boil inside.	-0.141993652
1464	Tom	Negative	-0.2439	"I know I seem dreamy, but inside - well, I'm boiling !"	-0.166383652
1465	Tom	Negative	-0.26829	"- Whenever I pick up a shoe, I shudder a little thinking how short life is and what I am doing!"	-0.190773652
1466	Tom	Negative	-0.26829	"- Whatever that means, I know it doesn't mean shoes - except as something to wear on a traveller's feet !"	-0.190773652
1467		Neutral	-0.26829	[Finds paper.]	-0.190773652
1468	Tom	Neutral	-0.26829	Look.	-0.190773652
1469	Jim	Neutral	-0.26829	JIM: What?	-0.190773652
1470	Tom	Neutral	-0.2439	TOM: I'm a member.	-0.166383652
1471	Jim	Neutral	-0.2439	JIM [reading]: The Union of Merchant Seamen.	-0.166383652
1472	Tom	Negative	-0.2439	"TOM: I paid my dues this month, instead of the light bill."	-0.166383652
1473	Jim	Negative	-0.19512	JIM: You will regret it when they turn the lights off.	-0.117603652
1474	Tom	Negative	-0.19512	TOM: I won't be here.	-0.117603652
1475	Jim	Neutral	-0.14634	JIM: How about your mother?	-0.068823652
1476	Tom	Negative	-0.14634	TOM: I'm like my father.	-0.068823652
1477	Tom	Negative	-0.12195	The bastard son of a bastard!	-0.044433652
1478	Tom	Positive	-0.14634	See how he grins?	-0.068823652
1479	Tom	Negative	-0.14634	And he's been absent going on sixteen years !	-0.068823652
1480	Jim	Neutral	-0.12195	"JIM: You're just talking, you drip."	-0.044433652
1481	Jim	Neutral	-0.12195	How does your mother feel about it?	-0.044433652
1482	Tom	Neutral	-0.12195	TOM: Shhh!	-0.044433652
1483		Neutral	-0.12195	-.	-0.044433652
1484	Tom	Neutral	-0.14634	Here comes mother !	-0.068823652
1485	Tom	Negative	-0.14634	Mother is not acquainted with my plans!	-0.068823652
1486	Amanda	Neutral	-0.14634	AMANDA [enters portieres]: Where are you all?	-0.068823652
1487	Tom	Neutral	-0.097561	"TOM: On the terrace, Mother."	-0.020044652
1488		Neutral	-0.097561	[They start inside.	-0.020044652
1489		Positive	-0.12195	She advances to them.	-0.044433652
1490		Neutral	-0.14634	TOM is distinctly shocked at her appearance.	-0.068823652
1491		Neutral	-0.17073	Even JIM blinks a little.	-0.093213652
1492		Positive	-0.17073	He is making his first contact with girlish Southern vivacity and in spite of the night-school course in public speaking is somewhat thrown off the beam by the unexpected outlay of social charm.	-0.093213652
1493		Positive	-0.17073	Certain responses are attempted by JIM but are swept aside by AMANDA's gay laughter and chatter.	-0.093213652
1494		Negative	-0.14634	TOM is embarrassed but after the first shock JIM reacts very warmly.	-0.068823652
1495		Positive	-0.097561	"Grins and chuckles, is altogether won over."	-0.020044652
1496		Neutral	-0.12195	IMAGE: AMANDA AS A GIRL.]	-0.044433652
1497	Amanda	Positive	-0.1	"AMANDA [coyly smiling, shaking her girlish ringlets]: Well, well, well, so this is Mr O'Connor."	-0.022483652
1498	Amanda	Negative	-0.05	Introductions entirely unnecessary.	0.027516348
1499	Amanda	Neutral	-0.1	I've heard so much about you from my boy.	-0.022483652
1500	Amanda	Positive	-0.075	"I finally said to him, Tom - good gracious!"	0.002516348
1501	Amanda	Neutral	-0.075	- why don't you bring this paragon to supper?	0.002516348
1502	Amanda	Neutral	-0.075	Id like to meet this nice young man at the warehouse!	0.002516348
1503	Amanda	Neutral	-0.05	- Instead of just hearing you sing his praises so much!	0.027516348
1504	Amanda	Negative	-0.051282	I don't know why my son is so stand-offish - that's not Southern behaviour !	0.026234348
1505	Amanda	Negative	-0.052632	Let's sit down and - I think we could stand a little more air in here !	0.024884348
1506	Amanda	Negative	0	"Tom, leave the door open."	0.077516348
1507	Amanda	Positive	0	I felt a nice fresh breeze a moment ago.	0.077516348
1508	Amanda	Neutral	0	Where has it gone to?	0.077516348
1509	Amanda	Negative	0	"Mmm, so warm already !"	0.077516348
1510	Amanda	Negative	-0.052632	"And not quite summer, even."	0.024884348
1511	Amanda	Negative	-0.052632	We're going to bum up when summer really gets started.	0.024884348
1512	Amanda	Neutral	-0.054054	"However, we're having - we're having a very light supper."	0.023462348
1513	Amanda	Negative	-0.083333	I think light things are better fo' this time of year.	-0.005816652
1514	Amanda	Neutral	-0.11111	The same as light clothes are.	-0.033593652
1515	Amanda	Positive	-0.083333	Light clothes an' light food are what warm weather calls fo'.	-0.005816652
1516	Amanda	Negative	-0.11111	You know our blood gets so thick during th' winter - it takes a while fo' us to adjust ou'selves!	-0.033593652
1517	Amanda	None	-0.083333	- when the season changes ...	-0.005816652
1518	Amanda	Positive	-0.083333	It's come so quick this year.	-0.005816652
1519	Amanda	Negative	-0.083333	I wasn't prepared.	-0.005816652
1520	Amanda	Neutral	-0.11111	All of a sudden - heavens !	-0.033593652
